id,str_exp,TextList,Segmened_text,vars
14,((20.0/2)),"Parallelogram(A,B,C,D), PerimeterOf(Polygon($)), IntersectAt(Line(A,B), Line(A,D),Line(A,C),Line(B,D),Point(O)), Line(O,E), Line(B,D), Line(A,D), LengthOf(Triangle(A,B,E))",Parallelogram ABCD  PerimeterOf Polygon $   IntersectAt Line AB  Line AD Line AC Line BD Point O   Line OE  Line BD  Line AD  LengthOf Triangle ABE  ,10
17,((|21.0-5.0|/2)+5.0),"PerimeterOf(Polygon($)), Equals(LengthOf(Triangle(A,B,C)),21), Equals(LengthOf(Line(A,B)),Line(A,C)), Equals(LengthOf(Line(B,C)),5), Line(D,E), Line(A,B), Point(D), Line(A,C), Point(E), LengthOf(Triangle(B,E,C))",PerimeterOf Polygon $   Equals LengthOf Triangle ABC  21  Equals LengthOf Line AB  Line AC   Equals LengthOf Line BC  5  Line DE  Line AB  Point D  Line AC  Point E  LengthOf Triangle BEC  ,13
21,(20.0+20.0),"SideOf(Regular(Polygon($))), Quadrilateral(A,B,C,D), Line(A,C), Line(B,D), PerimeterOf(Quadrilateral(E,F,G,H))",SideOf Regular Polygon $    Quadrilateral ABCD  Line AC  Line BD  PerimeterOf Quadrilateral EFGH  ,40
22,|180-55.0|,"Equals(Equals(MeasureOf(Angle(1)),MeasureOf(Angle(2))),MeasureOf(Angle(3)), MeasureOf(Angle(4))",Equals Equals MeasureOf Angle 1  MeasureOf Angle 2   MeasureOf Angle 3   MeasureOf Angle 4  ,125
23,(25.0*2),"IsDiameterOf(Line(A,B),Circle(O)), Equals(LengthOf(Line(B,C)),arc), Line(B,D), Equals(MeasureOf(Angle(A)),25бу), MeasureOf(Angle(B,O,D))",IsDiameterOf Line AB Circle O   Equals LengthOf Line BC  arc  Line BD  Equals MeasureOf Angle A  25бу  MeasureOf Angle BOD  ,50
24,(50.0*2),"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(A)),50бу), MeasureOf(Angle(B,O,C))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle A  50бу  MeasureOf Angle BOC  ,100
25,(100.0/2),"Equals(MeasureOf(Angle(A,O,B)),100бу), Angle($), MeasureOf(Angle(B))",Equals MeasureOf Angle AOB  100бу  Angle $  MeasureOf Angle B  ,50
27,|90-25.0|,"InscribedIn(Triangle(A,B,C),Circle(O)), IsDiameterOf(Line(A,D),Circle(O)), Equals(MeasureOf(Angle(A,B,C)),25бу), MeasureOf(Angle(C,A,D))",InscribedIn Triangle ABC Circle O   IsDiameterOf Line AD Circle O   Equals MeasureOf Angle ABC  25бу  MeasureOf Angle CAD  ,65
30,|90-65.0|,"Line(a), Point(B), Line(b), Line(A,B), Line(B,C), Equals(MeasureOf(Angle(2)),65бу), MeasureOf(Angle(1))",Line a  Point B  Line b  Line AB  Line BC  Equals MeasureOf Angle 2  65бу  MeasureOf Angle 1  ,25
32,(||(50.0+50.0)-180|-180|/2),"IsMidpointOf(Point(D),Line($)), Line(A,B), LengthOf(Triangle(A,B,C)), SinOf(g), Point(A), Line(B,C), Equals(MeasureOf(Angle(B)),50бу), MeasureOf(Angle(E,D,F))",IsMidpointOf Point D Line $   Line AB  LengthOf Triangle ABC   SinOf g  Point A  Line BC  Equals MeasureOf Angle B  50бу  MeasureOf Angle EDF  ,50
35,|(70.0*2)-180|,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(C,A,B)),70бу), Point(A), Triangle($), Line(A,B), Line(C,C), MeasureOf(Angle(B,A,B))",LengthOf Triangle ABC   Equals MeasureOf Angle CAB  70бу  Point A  Triangle $  Line AB  Line CC  MeasureOf Angle BAB  ,40
37,||180-90|-(|180-36.0|/2)|,"LengthOf(Triangle(A,B,C)), Equals(LengthOf(Line(A,B)),Line(A,C)), Equals(MeasureOf(Angle(A)),36бу), Line(B,D), Line(A,C), MeasureOf(Angle(D,B,C))",LengthOf Triangle ABC   Equals LengthOf Line AB  Line AC   Equals MeasureOf Angle A  36бу  Line BD  Line AC  MeasureOf Angle DBC  ,18
39,(78.0/2),"Angle($), Equals(MeasureOf(Angle(B,O,C)),78бу), MeasureOf(Angle(B,A,C))",Angle $  Equals MeasureOf Angle BOC  78бу  MeasureOf Angle BAC  ,39
40,|90-58.0|,"Equals(Circle(O),circumCircle($), LengthOf(Triangle(A,B,D)), IsDiameterOf(Line(A,B),Circle(O)), IsChordOf(Line(C,D),Circle(O)), Equals(MeasureOf(Angle(A,B,D)),58бу), MeasureOf(Angle(B,C,D))",Equals Circle O circumCircle $  LengthOf Triangle ABD   IsDiameterOf Line AB Circle O   IsChordOf Line CD Circle O   Equals MeasureOf Angle ABD  58бу  MeasureOf Angle BCD  ,32
42,|(|180-80.0|/2)-80.0|,"Line(B,C), Rhombus(A,B,C,D), Equals(Equals(MeasureOf(Angle(D,A,E)),MeasureOf(Angle(B))),80бу), MeasureOf(Angle(C,D,E))",Line BC  Rhombus ABCD  Equals Equals MeasureOf Angle DAE  MeasureOf Angle B   80бу  MeasureOf Angle CDE  ,30
44,|(||180-22.5|-22.5|/2)-180|,"Circle(O), Equals(MeasureOf(Angle(O,A,B)),22.5бу), MeasureOf(Angle(C))",Circle O  Equals MeasureOf Angle OAB  22.5бу  MeasureOf Angle C  ,112.5
45,8,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A,B,C)),45бу), Equals(LengthOf(Line(A,C)),8cm), HeightOf(Polygon($)), Line(A,D), Line(B,E), LengthOf(Line(B,F))",LengthOf Triangle ABC   Equals MeasureOf Angle ABC  45бу  Equals LengthOf Line AC  8cm  HeightOf Polygon $   Line AD  Line BE  LengthOf Line BF  ,8
46,||180-70.0|-(70.0)|,"LengthOf(Triangle(A,B,C)), Equals(LengthOf(Line(A,B)),Line(A,C)), Equals(MeasureOf(Angle(B)),70бу), MeasureOf(Angle(A))",LengthOf Triangle ABC   Equals LengthOf Line AB  Line AC   Equals MeasureOf Angle B  70бу  MeasureOf Angle A  ,40
48,55,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),55бу), MeasureOf(Angle(2))",Line a  Line c  Equals MeasureOf Angle 1  55бу  MeasureOf Angle 2  ,55
49,((|180-90|/2)/2),"Isosceles(Right(Triangle(A,B,C))), Equals(LengthOf(Line(A,B)),4), Equals(LengthOf(Line(A,C)),4), IsMidpointOf(Point(O),Line(B,C)), Circle(O), Line(B,C), Point(M), Point(N), Equals(Circle(O),\tan), Line(A,B), Line(A,C), RadiusOf(Circle(O)), MeasureOf(Angle(M,N,D))",Isosceles Right Triangle ABC    Equals LengthOf Line AB  4  Equals LengthOf Line AC  4  IsMidpointOf Point O Line BC   Circle O  Line BC  Point M  Point N  Equals Circle O \tan  Line AB  Line AC  RadiusOf Circle O   MeasureOf Angle MND  ,22.5
50,(20.0*2),"Line(C,D), Circle(O), IsChordOf(Line(E,F),Circle($)), Equals(MeasureOf(Angle(D,C,F)),20бу), MeasureOf(Angle(E,O,D))",Line CD  Circle O  IsChordOf Line EF Circle $   Equals MeasureOf Angle DCF  20бу  MeasureOf Angle EOD  ,40
51,20,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(B)),20бу), MeasureOf(Angle(C))",Parallel Line AB Line CD   Equals MeasureOf Angle B  20бу  MeasureOf Angle C  ,20
52,|100.0-70.0|,"Equals(MeasureOf(Angle(1)),100бу), Equals(MeasureOf(Angle(C)),70бу), MeasureOf(Angle(A))",Equals MeasureOf Angle 1  100бу  Equals MeasureOf Angle C  70бу  MeasureOf Angle A  ,30
53,(50.0*2),"Circle(O), Equals(MeasureOf(Angle(A,B,C)),50бу), MeasureOf(Angle(A,O,C))",Circle O  Equals MeasureOf Angle ABC  50бу  MeasureOf Angle AOC  ,100
54,||180-45.0|-(90.0+30.0)|,"Shape($), Equals(MeasureOf(Angle(C)),90бу), Equals(MeasureOf(Angle(B)),45бу), Equals(MeasureOf(Angle(E)),30бу), Equals(MeasureOf(Angle(B,F,D)),()",Shape $  Equals MeasureOf Angle C  90бу  Equals MeasureOf Angle B  45бу  Equals MeasureOf Angle E  30бу  Equals MeasureOf Angle BFD    ,15
55,(100.0/2),"Parallel(Line(A,B),Line(C,D)), Line(A,B), BisectsAngle(Line(E,D),MeasureOf(Angle(B,E,C))), Line(C,D), Point(D), Equals(MeasureOf(Angle(B,E,C)),100бу), MeasureOf(Angle(D))",Parallel Line AB Line CD   Line AB  BisectsAngle Line ED MeasureOf Angle BEC    Line CD  Point D  Equals MeasureOf Angle BEC  100бу  MeasureOf Angle D  ,50
56,||180-90.0|-35.0|,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(C,E,D)),90бу), Equals(MeasureOf(Angle(A,E,C)),35бу), MeasureOf(Angle(D))",Parallel Line AB Line CD   Equals MeasureOf Angle CED  90бу  Equals MeasureOf Angle AEC  35бу  MeasureOf Angle D  ,55
57,(|180-80.0|/2),"Parallel(Line(A,B),Line(C,D)), Line(A,D), MeasureOf(Angle(B,A,C)), Equals(MeasureOf(Angle(C)),80бу), MeasureOf(Angle(D))",Parallel Line AB Line CD   Line AD  MeasureOf Angle BAC   Equals MeasureOf Angle C  80бу  MeasureOf Angle D  ,50
58,|(70.0*2)-180|,"Parallel(Line(A,B),Line(C,D)), Line(A,D), MeasureOf(Angle(B,A,C)), Equals(MeasureOf(Angle(B,A,D)),70бу), MeasureOf(Angle(A,C,D))",Parallel Line AB Line CD   Line AD  MeasureOf Angle BAC   Equals MeasureOf Angle BAD  70бу  MeasureOf Angle ACD  ,40
59,|180-135.0|,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(2)),135бу), MeasureOf(Angle(1))",Parallel Line AB Line CD   Equals MeasureOf Angle 2  135бу  MeasureOf Angle 1  ,45
60,(||180-50.0|-50.0|/2),"Point(A), Point(B), Point(C), Circle($), Equals(MeasureOf(Angle(O,B,C)),50бу), MeasureOf(Angle(A))",Point A  Point B  Point C  Circle $  Equals MeasureOf Angle OBC  50бу  MeasureOf Angle A  ,40
61,|45.0-20.0|,"Right(Triangle($)), Equals(MeasureOf(Angle(1)),20бу), MeasureOf(Angle(2))",Right Triangle $   Equals MeasureOf Angle 1  20бу  MeasureOf Angle 2  ,25
63,(40.0+90),"Equals(MeasureOf(Angle(1)),40бу), MeasureOf(Angle(2))",Equals MeasureOf Angle 1  40бу  MeasureOf Angle 2  ,130
65,(40.0/2),"Circle(O), Equals(MeasureOf(Angle(A,O,C)),40бу), Equals(MeasureOf(Angle(A,B,C)),())",Circle O  Equals MeasureOf Angle AOC  40бу  Equals MeasureOf Angle ABC     ,20
66,(|(30.0*2)-180|/2),"Circle(O), Circle($), LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A,B,O)),30бу), MeasureOf(Angle(A,C,B))",Circle O  Circle $  LengthOf Triangle ABC   Equals MeasureOf Angle ABO  30бу  MeasureOf Angle ACB  ,60
69,|90-50.0|,"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Point(D), Circle(O), Equals(MeasureOf(Angle(B,A,C)),50бу), MeasureOf(Angle(A,D,C))",IsDiameterOf Line AB Circle O   Point C  Point D  Circle O  Equals MeasureOf Angle BAC  50бу  MeasureOf Angle ADC  ,40
70,||180-70.0|-25.0|,"Congruent(LengthOf(Triangle(O,A,D)),LengthOf(Triangle(O,B,C))), Equals(MeasureOf(Angle(O)),70бу), Equals(MeasureOf(Angle(C)),25бу), MeasureOf(Angle(O,A,D))",Congruent LengthOf Triangle OAD  LengthOf Triangle OBC    Equals MeasureOf Angle O  70бу  Equals MeasureOf Angle C  25бу  MeasureOf Angle OAD  ,85
72,(40.0*2),"Circle(O), Circle($), LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A,B,C)),40бу), MeasureOf(Angle(A,O,C))",Circle O  Circle $  LengthOf Triangle ABC   Equals MeasureOf Angle ABC  40бу  MeasureOf Angle AOC  ,80
75,(36.0+24.0),"Line(B,O), Line(C,O), MeasureOf(Angle(A,B,C)), MeasureOf(Angle(A,C,B)), Parallel(Line(M,N),Line(B,C)), Equals(LengthOf(Line(A,B)),36), Equals(LengthOf(Line(A,C)),24), PerimeterOf(Polygon($)), LengthOf(Triangle(A,M,N))",Line BO  Line CO  MeasureOf Angle ABC   MeasureOf Angle ACB   Parallel Line MN Line BC   Equals LengthOf Line AB  36  Equals LengthOf Line AC  24  PerimeterOf Polygon $   LengthOf Triangle AMN  ,60
78,130,"Equals(Parallel(Line(a),LengthOf(Line(b), MeasureOf(Angle(1)))),130бу), MeasureOf(Angle(2))",Equals Parallel Line a LengthOf Line b  MeasureOf Angle 1    130бу  MeasureOf Angle 2  ,130
79,|90.0-46.0|,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(C)),90бу), Point(D), SideOf(Line(A,C)), Parallel(Line(D,E),Line(A,B)), Equals(MeasureOf(Angle(A,D,E)),46бу), MeasureOf(Angle(B))",LengthOf Triangle ABC   Equals MeasureOf Angle C  90бу  Point D  SideOf Line AC   Parallel Line DE Line AB   Equals MeasureOf Angle ADE  46бу  MeasureOf Angle B  ,44
81,|(74.0*2)-180|,"Parallel(Line(A,B),Line(C,D)), Point(E), Line(B,C), Equals(LengthOf(Line(C,D)),Line(C,E)), Equals(MeasureOf(Angle(D)),74бу), MeasureOf(Angle(B))",Parallel Line AB Line CD   Point E  Line BC  Equals LengthOf Line CD  Line CE   Equals MeasureOf Angle D  74бу  MeasureOf Angle B  ,32
82,||180-90.0|-|180-145.0||,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A)),90бу), Point(D), SideOf(Line(A,C)), Parallel(Line(D,E),Line(B,C)), Equals(MeasureOf(Angle(1)),145бу), MeasureOf(Angle(B))",LengthOf Triangle ABC   Equals MeasureOf Angle A  90бу  Point D  SideOf Line AC   Parallel Line DE Line BC   Equals MeasureOf Angle 1  145бу  MeasureOf Angle B  ,55
83,|180-40.0|,"Parallel(Line(A,B),Line(C,D)), Parallel(Line(B,C),Line(D,E)), Equals(MeasureOf(Angle(B)),40бу), MeasureOf(Angle(D))",Parallel Line AB Line CD   Parallel Line BC Line DE   Equals MeasureOf Angle B  40бу  MeasureOf Angle D  ,140
84,|120.0-80.0|,"LengthOf(Triangle(A,B,C)), Parallel(Line(a),Line(b)), Equals(MeasureOf(Angle(1)),120бу), Equals(MeasureOf(Angle(2)),80бу), MeasureOf(Angle(3))",LengthOf Triangle ABC   Parallel Line a Line b   Equals MeasureOf Angle 1  120бу  Equals MeasureOf Angle 2  80бу  MeasureOf Angle 3  ,40
86,|180-40.0|,"Parallel(Line(A,B),Line(C,D)), Point(E), Line(C,A), Equals(MeasureOf(Angle(B,A,E)),40бу), MeasureOf(Angle(A,C,D))",Parallel Line AB Line CD   Point E  Line CA  Equals MeasureOf Angle BAE  40бу  MeasureOf Angle ACD  ,140
87,(34.0*2),"Parallel(Line(A,B),Line(C,D)), Line(A,F), Line(C,D), Point(O), BisectsAngle(Line(O,F),MeasureOf(Angle(E,O,D))), Equals(MeasureOf(Angle(A)),34бу), MeasureOf(Angle(E,O,D))",Parallel Line AB Line CD   Line AF  Line CD  Point O  BisectsAngle Line OF MeasureOf Angle EOD    Equals MeasureOf Angle A  34бу  MeasureOf Angle EOD  ,68
89,|180-110.0|,"Quadrilateral(A,B,C,D), Quadrilateral($), Circle(O), Equals(MeasureOf(Angle(B,C,D)),110бу), MeasureOf(Angle(B,A,D))",Quadrilateral ABCD  Quadrilateral $  Circle O  Equals MeasureOf Angle BCD  110бу  MeasureOf Angle BAD  ,70
90,(|180-40.0|/2),"Parallel(Line(A,B),Line(C,D)), Line(E,A), MeasureOf(Angle(C,E,B)), Equals(MeasureOf(Angle(B,E,D)),40бу), MeasureOf(Angle(A))",Parallel Line AB Line CD   Line EA  MeasureOf Angle CEB   Equals MeasureOf Angle BED  40бу  MeasureOf Angle A  ,70
92,(|180-100.0|/2),"Equals(Equals(LengthOf(Line(A,B)),Parallel(Line(A,C), Line(A,D),LengthOf(Line(B,C), MeasureOf(Angle(B,A,C))))),100бу), MeasureOf(Angle(C,A,D))",Equals Equals LengthOf Line AB  Parallel Line AC  Line AD LengthOf Line BC  MeasureOf Angle BAC     100бу  MeasureOf Angle CAD  ,40
93,|180-70.0|,"Parallel(Line(A,B),Line(C,D)), Point(E), Line(C,B), Equals(MeasureOf(Angle(A,B,E)),70бу), MeasureOf(Angle(E,C,D))",Parallel Line AB Line CD   Point E  Line CB  Equals MeasureOf Angle ABE  70бу  MeasureOf Angle ECD  ,110
95,|(б╠((160.0/2)*(160.0/2)-(200.0/2)*(200.0/2)))-(б╠((160.0/2)*(160.0/2)-(200.0/2)*(200.0/2)))|,"TanOf(k), WidthOf(Polygon($)), Equals(LengthOf(Line(A,B)),160cm)",TanOf k  WidthOf Polygon $   Equals LengthOf Line AB  160cm ,40
98,((3.141592653589793*10.0)*5.0),SideOf(Regular(Polygon($))),SideOf Regular Polygon $   ,157.0796327
100,(||180-80.0|-180|/2),"LengthOf(Triangle(A,B,C)), Point(D), Line(B,C), Equals(LengthOf(Line(A,B)),Line(A,D)), Equals(LengthOf(Line(A,D)),Line(D,C)), Equals(MeasureOf(Angle(B)),80бу), MeasureOf(Angle(C))",LengthOf Triangle ABC   Point D  Line BC  Equals LengthOf Line AB  Line AD   Equals LengthOf Line AD  Line DC   Equals MeasureOf Angle B  80бу  MeasureOf Angle C  ,40
101,(|180-70.0|/2),"BisectsAngle(Line(B,D),MeasureOf(Angle(A,B,C))), Parallel(Line(C,D),Line(A,B)), Equals(MeasureOf(Angle(B,C,D)),70бу), MeasureOf(Angle(C,D,B))",BisectsAngle Line BD MeasureOf Angle ABC    Parallel Line CD Line AB   Equals MeasureOf Angle BCD  70бу  MeasureOf Angle CDB  ,55
102,(38.0*2),"Parallel(Line(A,B),Line(C,D)), Line(A,D), MeasureOf(Angle(B,A,E)), Equals(MeasureOf(Angle(D)),38бу), MeasureOf(Angle(A,E,C))",Parallel Line AB Line CD   Line AD  MeasureOf Angle BAE   Equals MeasureOf Angle D  38бу  MeasureOf Angle AEC  ,76
103,(|90-36.0|/2),"Line(A,B), Circle(O), Point(B), Line(A,O), Point(C), Line(B,C), Equals(MeasureOf(Angle(A)),36бу), MeasureOf(Angle(C))",Line AB  Circle O  Point B  Line AO  Point C  Line BC  Equals MeasureOf Angle A  36бу  MeasureOf Angle C  ,27
104,|180-80.0|,"InscribedIn(Quadrilateral(A,B,C,D),Circle($)), Equals(MeasureOf(Angle(C)),80бу), MeasureOf(Angle(A))",InscribedIn Quadrilateral ABCD Circle $   Equals MeasureOf Angle C  80бу  MeasureOf Angle A  ,100
105,||(80.0/2)-180|-(50.0/2)|,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A,B,C)),50бу), Equals(MeasureOf(Angle(A,C,B)),80бу), BisectsAngle(Line(B,P),MeasureOf(Angle(A,B,C))), BisectsAngle(Line(C,P),MeasureOf(Angle(A,C,B))), MeasureOf(Angle(B,P,C))",LengthOf Triangle ABC   Equals MeasureOf Angle ABC  50бу  Equals MeasureOf Angle ACB  80бу  BisectsAngle Line BP MeasureOf Angle ABC    BisectsAngle Line CP MeasureOf Angle ACB    MeasureOf Angle BPC  ,115
107,56,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(1)),56бу), MeasureOf(Angle(2))",Parallel Line AB Line CD   Equals MeasureOf Angle 1  56бу  MeasureOf Angle 2  ,56
108,|90-36.0|,"IsDiameterOf(Line(B,C),Circle(O)), Line(A,D), Line(B,C), Equals(MeasureOf(Angle(D)),36бу), MeasureOf(Angle(B,A,D))",IsDiameterOf Line BC Circle O   Line AD  Line BC  Equals MeasureOf Angle D  36бу  MeasureOf Angle BAD  ,54
109,|180-70.0|,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(1)),70бу), MeasureOf(Angle(B,O,F))",Parallel Line AB Line CD   Equals MeasureOf Angle 1  70бу  MeasureOf Angle BOF  ,110
110,50,"Point(O), Equals(MeasureOf(Angle(1)),50бу), MeasureOf(Angle(2))",Point O  Equals MeasureOf Angle 1  50бу  MeasureOf Angle 2  ,50
111,|90-35.0|,"IsDiameterOf(Line(A,B),Circle($)), Circle($), LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A)),35бу), MeasureOf(Angle(B))",IsDiameterOf Line AB Circle $   Circle $  LengthOf Triangle ABC   Equals MeasureOf Angle A  35бу  MeasureOf Angle B  ,55
112,|180-50.0|,"Parallel(Line(A,B),Line(C,D)), Line(E,F), Line(A,B), Line(C,D), Point(E), Point(F), Equals(MeasureOf(Angle(1)),50бу), MeasureOf(Angle(2))",Parallel Line AB Line CD   Line EF  Line AB  Line CD  Point E  Point F  Equals MeasureOf Angle 1  50бу  MeasureOf Angle 2  ,130
113,((||80.0-70.0|-180|/2)+(||80.0-70.0|-180|/2)),"Quadrilateral(A,B,C,D), Equals(MeasureOf(Angle(B)),70бу), Equals(MeasureOf(Angle(C)),80бу), Line(C,D), Line(A,B), Line(M,N), Point(M), Point(N), Line(A,D), Line(B,C), Equals(MeasureOf(Angle(M,N,B)),())",Quadrilateral ABCD  Equals MeasureOf Angle B  70бу  Equals MeasureOf Angle C  80бу  Line CD  Line AB  Line MN  Point M  Point N  Line AD  Line BC  Equals MeasureOf Angle MNB     ,95
118,(50.0/2),"LengthOf(Triangle(A,B,C)), MeasureOf(Angle(A,B,C)), Angle($), MeasureOf(Angle(A,C,B)), Point(D), Equals(MeasureOf(Angle(A)),50бу), MeasureOf(Angle(D))",LengthOf Triangle ABC   MeasureOf Angle ABC   Angle $  MeasureOf Angle ACB   Point D  Equals MeasureOf Angle A  50бу  MeasureOf Angle D  ,25
119,9,"Congruent(Triangle(A,B,C),LengthOf(Triangle(D,C,B))), Point(A), Point(B), Point(D), Point(C), Equals(LengthOf(Line(A,B)),7cm), Equals(LengthOf(Line(B,C)),12cm), Equals(LengthOf(Line(A,C)),9cm), Equals(LengthOf(Line(B,D)),())",Congruent Triangle ABC LengthOf Triangle DCB    Point A  Point B  Point D  Point C  Equals LengthOf Line AB  7cm  Equals LengthOf Line BC  12cm  Equals LengthOf Line AC  9cm  Equals LengthOf Line BD     ,9
120,|||180-70.0|-30.0|-35.0|,"Congruent(Triangle(A,B,C),LengthOf(Triangle(A,D,E))), Equals(MeasureOf(Angle(B)),70бу), Equals(MeasureOf(Angle(C)),30бу), Equals(MeasureOf(Angle(D,A,C)),35бу), MeasureOf(Angle(E,A,C))",Congruent Triangle ABC LengthOf Triangle ADE    Equals MeasureOf Angle B  70бу  Equals MeasureOf Angle C  30бу  Equals MeasureOf Angle DAC  35бу  MeasureOf Angle EAC  ,45
121,||7.0-5.0|-5.0|,"Congruent(Triangle(A,B,C),LengthOf(Triangle(D,E,F))), Point(A), Point(D), Equals(Red(Line(B,C)),5cm), Equals(LengthOf(Line(B,F)),7cm), Line(E,C)",Congruent Triangle ABC LengthOf Triangle DEF    Point A  Point D  Equals Red Line BC  5cm  Equals LengthOf Line BF  7cm  Line EC ,3
122,360,"Angle($), MeasureOf(Angle(F))",Angle $  MeasureOf Angle F  ,360
123,6,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(C)),90бу), Equals(LengthOf(Line(A,C)),Line(B,C)), BisectsAngle(Line(A,D),MeasureOf(Angle(C,A,B))), Line(B,C), Angle(C,A,B), Line(D,E), Line(A,B), Equals(LengthOf(Line(A,B)),6cm), PerimeterOf(Polygon($)), LengthOf(Triangle(D,B,E))",LengthOf Triangle ABC   Equals MeasureOf Angle C  90бу  Equals LengthOf Line AC  Line BC   BisectsAngle Line AD MeasureOf Angle CAB    Line BC  Angle CAB  Line DE  Line AB  Equals LengthOf Line AB  6cm  PerimeterOf Polygon $   LengthOf Triangle DBE  ,6
124,|(|(20.0/2)-90|+20.0)-90|,"BisectsAngle(Line(A,F),MeasureOf(Angle(B,A,C))), Line(F,D), Line(B,C), Equals(MeasureOf(Angle(B)),20), MeasureOf(Angle(C)), MeasureOf(Angle(F))",BisectsAngle Line AF MeasureOf Angle BAC    Line FD  Line BC  Equals MeasureOf Angle B  20  MeasureOf Angle C   MeasureOf Angle F  ,10
