ID,str_exp,TextList,Segmened_text,var
3617,85,"Angle($), MeasureOf(Angle(A,B,E)), Equals(InscribedIn(Quadrilateral(A,B,C,D),Circle($)),85), Find(MeasureOf(Angle(A,D,C)))",Angle $  MeasureOf Angle ABE   Equals InscribedIn Quadrilateral ABCD Circle $  85  Find MeasureOf Angle ADC   ,85
4814,80,"Similar(Triangle(A,B,C),LengthOf(Triangle(A,E,D))), Equals(MeasureOf(Angle(A,D,E)),80), Equals(MeasureOf(Angle(A)),60), Find(MeasureOf(Angle(C)))",Similar Triangle ABC LengthOf Triangle AED    Equals MeasureOf Angle ADE  80  Equals MeasureOf Angle A  60  Find MeasureOf Angle C   ,80
3453,80,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(A,D), Equals(MeasureOf(Angle(C,D,E)),80), Find(MeasureOf(Angle(B)))",InscribedIn Quadrilateral ABCD Circle O   Line AD  Equals MeasureOf Angle CDE  80  Find MeasureOf Angle B   ,80
735,78,"Line(B,C), Equals(MeasureOf(Angle(B)),MeasureOf(Angle(1))), Equals(MeasureOf(Angle(B,A,C)),78), Find(MeasureOf(Angle(2)))",Line BC  Equals MeasureOf Angle B  MeasureOf Angle 1    Equals MeasureOf Angle BAC  78  Find MeasureOf Angle 2   ,78
3452,75,"MeasureOf(Angle(D,C,E)), Angle($), InscribedIn(Quadrilateral(A,B,C,D),Circle($)), Equals(MeasureOf(Angle(D,C,E)),75), Find(MeasureOf(Angle(B,A,D)))",MeasureOf Angle DCE   Angle $  InscribedIn Quadrilateral ABCD Circle $   Equals MeasureOf Angle DCE  75  Find MeasureOf Angle BAD   ,75
1119,75,"Equals(MeasureOf(Angle(1)),MeasureOf(Angle(2))), Equals(MeasureOf(Angle(3)),75), Find(MeasureOf(Angle(4)))",Equals MeasureOf Angle 1  MeasureOf Angle 2    Equals MeasureOf Angle 3  75  Find MeasureOf Angle 4   ,75
1323,75,"Equals(Equals(MeasureOf(Angle(1)),MeasureOf(Angle(2))),20), Equals(MeasureOf(Angle(A)),75), Find(MeasureOf(Angle(3)))",Equals Equals MeasureOf Angle 1  MeasureOf Angle 2   20  Equals MeasureOf Angle A  75  Find MeasureOf Angle 3   ,75
4206,70,"Circle(O), Parallelogram(A,B,C,D), Equals(Line(C,D),\tan), IntersectAt(Circle(O),Line(A,D),Circle(O),Point(E)), Equals(MeasureOf(Angle(D)),70), Find(MeasureOf(Angle(B,E,C)))",Circle O  Parallelogram ABCD  Equals Line CD \tan  IntersectAt Circle O Line AD Circle O Point E   Equals MeasureOf Angle D  70  Find MeasureOf Angle BEC   ,70
1047,70,"Parallel(Line(A,B),Line(C,D)), Line(A,D), MeasureOf(Angle(B,A,C)), Equals(MeasureOf(Angle(C,D,A)),70), Find(MeasureOf(Angle(C,A,D)))",Parallel Line AB Line CD   Line AD  MeasureOf Angle BAC   Equals MeasureOf Angle CDA  70  Find MeasureOf Angle CAD   ,70
1633,70,"Parallel(Line(a),Line(b)), Equals(MeasureOf(Angle(1)),70), Find(MeasureOf(Angle(2)))",Parallel Line a Line b   Equals MeasureOf Angle 1  70  Find MeasureOf Angle 2   ,70
806,70,"Parallel(Line(a),Line(b)), Equals(MeasureOf(Angle(1)),70), Find(MeasureOf(Angle(2)))",Parallel Line a Line b   Equals MeasureOf Angle 1  70  Find MeasureOf Angle 2   ,70
615,70,"Congruent(Triangle(A,B,C),LengthOf(Triangle(E,D,F))), Equals(MeasureOf(Angle(F,E,D)),70), Find(MeasureOf(Angle(A)))",Congruent Triangle ABC LengthOf Triangle EDF    Equals MeasureOf Angle FED  70  Find MeasureOf Angle A   ,70
3456,70,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Equals(MeasureOf(Angle(B,C,E)),70), Find(MeasureOf(Angle(A)))",InscribedIn Quadrilateral ABCD Circle O   Equals MeasureOf Angle BCE  70  Find MeasureOf Angle A   ,70
5658,70,"LengthOf(Triangle(A,B,C)), Line(A,B), Line(A,C), Point(A), Line(D,E), Line(B,C), Line(C,E), Equals(MeasureOf(Angle(A,D,E)),70), Find(MeasureOf(Angle(B)))",LengthOf Triangle ABC   Line AB  Line AC  Point A  Line DE  Line BC  Line CE  Equals MeasureOf Angle ADE  70  Find MeasureOf Angle B   ,70
4,70,"Line(a), Line(c), Line(b), Equals(MeasureOf(Angle(1)),70), Find(MeasureOf(Angle(2)))",Line a  Line c  Line b  Equals MeasureOf Angle 1  70  Find MeasureOf Angle 2   ,70
3566,70,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Angle($), Equals(Equals(Quadrilateral(A,B,C,D),MeasureOf(Angle(D,C,E))),70), Find(MeasureOf(Angle(B,A,D)))",InscribedIn Quadrilateral ABCD Circle O   Angle $  Equals Equals Quadrilateral ABCD MeasureOf Angle DCE   70  Find MeasureOf Angle BAD   ,70
3558,70,"Angle($), Equals(Equals(Quadrilateral(A,B,C,D),MeasureOf(Angle(D,C,E))),70), Find(MeasureOf(Angle(B,A,D)))",Angle $  Equals Equals Quadrilateral ABCD MeasureOf Angle DCE   70  Find MeasureOf Angle BAD   ,70
8651,70,"Line(A,B), Line(C,D), Circle(O), Line(A,D), Line(B,C), Equals(MeasureOf(Angle(B,C,D)),70), Find(MeasureOf(Angle(B,A,D)))",Line AB  Line CD  Circle O  Line AD  Line BC  Equals MeasureOf Angle BCD  70  Find MeasureOf Angle BAD   ,70
4429,65,"IsDiameterOf(Line(A,D),Circle(O)), Line(B,C), Circle(O), Point(B), Line(A,B), Line(O,B), Line(B,D), Equals(MeasureOf(Angle(A,B,C)),65), Find(MeasureOf(Angle(A,D,B)))",IsDiameterOf Line AD Circle O   Line BC  Circle O  Point B  Line AB  Line OB  Line BD  Equals MeasureOf Angle ABC  65  Find MeasureOf Angle ADB   ,65
5472,65,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Equals(MeasureOf(Angle(D,C,E)),65), Equals(MeasureOf(Angle(A,B,C)),68), Find(MeasureOf(Angle(A)))",InscribedIn Quadrilateral ABCD Circle O   Equals MeasureOf Angle DCE  65  Equals MeasureOf Angle ABC  68  Find MeasureOf Angle A   ,65
3461,62,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Equals(MeasureOf(Angle(A)),62), Find(MeasureOf(Angle(B,C,E)))",InscribedIn Quadrilateral ABCD Circle O   Equals MeasureOf Angle A  62  Find MeasureOf Angle BCE   ,62
426,62,"Equals(MeasureOf(Angle(1)),62), Parallel(Line(m),Line(n)), Find(MeasureOf(Angle(2)))",Equals MeasureOf Angle 1  62  Parallel Line m Line n   Find MeasureOf Angle 2   ,62
9269,60,"Rhombus($), Equals(SideOf(Regular(Polygon($))),15), Equals(LengthOf(Line(A,B)),15), Equals(LengthOf(Line(B,C)),15), Find(MeasureOf(Angle(1)))",Rhombus $  Equals SideOf Regular Polygon $   15  Equals LengthOf Line AB  15  Equals LengthOf Line BC  15  Find MeasureOf Angle 1   ,60
1124,60,"Equals(MeasureOf(Angle(1)),70), Equals(MeasureOf(Angle(2)),70), Equals(MeasureOf(Angle(3)),60), Find(MeasureOf(Angle(4)))",Equals MeasureOf Angle 1  70  Equals MeasureOf Angle 2  70  Equals MeasureOf Angle 3  60  Find MeasureOf Angle 4   ,60
4175,60,"Equals(Line(A,B),\tan), Circle(O), IntersectAt(Line(A,O),Circle(O),Point(C)), Equals(MeasureOf(Angle(B,A,O)),30), Find(MeasureOf(Angle(O,C,B)))",Equals Line AB \tan  Circle O  IntersectAt Line AO Circle O Point C   Equals MeasureOf Angle BAO  30  Find MeasureOf Angle OCB   ,60
5160,60,"Perpendicular(Line(A,B),Line(C,D)), Equals(Arc(B,D),60), Find(MeasureOf(Angle(B,O,C)))",Perpendicular Line AB Line CD   Equals Arc BD 60  Find MeasureOf Angle BOC   ,60
1151,60,"Line(c), Equals(Parallel(Line(a),LengthOf(Line(b), MeasureOf(Angle(1)))),60), Find(MeasureOf(Angle(2)))",Line c  Equals Parallel Line a LengthOf Line b  MeasureOf Angle 1    60  Find MeasureOf Angle 2   ,60
564,60,"Parallel(Line(A,B),Line(C,D)), Line(l), Line(A,B), Point(E), Line(C,D), Point(F), Equals(MeasureOf(Angle(1)),60), Find(MeasureOf(Angle(2)))",Parallel Line AB Line CD   Line l  Line AB  Point E  Line CD  Point F  Equals MeasureOf Angle 1  60  Find MeasureOf Angle 2   ,60
1923,60,"Triangle(A,B,C), Line(B,C), Line(A,D), Line(C,E), Line(A,B), IntersectAt(Line(A,D),Line(C,E),Point(O)), Equals(MeasureOf(Angle(B)),60), Find(MeasureOf(Angle(A,O,E)))",Triangle ABC  Line BC  Line AD  Line CE  Line AB  IntersectAt Line AD Line CE Point O   Equals MeasureOf Angle B  60  Find MeasureOf Angle AOE   ,60
3255,60,"Equals(Parallel(Line(A,B),LengthOf(Line(C,D), MeasureOf(Angle(C)))),60), MeasureOf(Angle(E)), Find(MeasureOf(Angle(A)))",Equals Parallel Line AB LengthOf Line CD  MeasureOf Angle C    60  MeasureOf Angle E   Find MeasureOf Angle A   ,60
3519,60,"Point(A), Point(B), Point(C), Circle(O), Point(E), Line(A,D), Equals(MeasureOf(Angle(A,B,C)),60), Find(MeasureOf(Angle(C,D,E)))",Point A  Point B  Point C  Circle O  Point E  Line AD  Equals MeasureOf Angle ABC  60  Find MeasureOf Angle CDE   ,60
9308,60,"Parallelogram(A,B,C,D), Equals(MeasureOf(Angle(B)),60), Find(MeasureOf(Angle(D)))",Parallelogram ABCD  Equals MeasureOf Angle B  60  Find MeasureOf Angle D   ,60
1248,60,"Perpendicular(Line(A,B),Line(C,D)), Circle(D), Perpendicular(Line(D,E),Line(D,F)), Equals(MeasureOf(Angle(B,D,E)),60), Find(MeasureOf(Angle(C,D,F)))",Perpendicular Line AB Line CD   Circle D  Perpendicular Line DE Line DF   Equals MeasureOf Angle BDE  60  Find MeasureOf Angle CDF   ,60
336,56,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),56), Find(MeasureOf(Angle(2)))",Line a  Line c  Equals MeasureOf Angle 1  56  Find MeasureOf Angle 2   ,56
107,56,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(1)),56), Find(MeasureOf(Angle(2)))",Parallel Line AB Line CD   Equals MeasureOf Angle 1  56  Find MeasureOf Angle 2   ,56
1535,55,"MeasureOf(Angle(1)), Equals(MeasureOf(Angle(2)),180), Equals(MeasureOf(Angle(3)),55), Find(MeasureOf(Angle(4)))",MeasureOf Angle 1   Equals MeasureOf Angle 2  180  Equals MeasureOf Angle 3  55  Find MeasureOf Angle 4   ,55
321,55,"Line(c), Parallel(Line(a),Line(b)), Equals(MeasureOf(Angle(1)),55), Find(MeasureOf(Angle(2)))",Line c  Parallel Line a Line b   Equals MeasureOf Angle 1  55  Find MeasureOf Angle 2   ,55
1103,55,"Parallel(Line(D,E),Line(B,C)), Equals(LengthOf(Line(A,B)),Line(A,C)), Equals(MeasureOf(Angle(1)),55), Find(MeasureOf(Angle(C)))",Parallel Line DE Line BC   Equals LengthOf Line AB  Line AC   Equals MeasureOf Angle 1  55  Find MeasureOf Angle C   ,55
339,55,"Line(a), Equals(MeasureOf(Angle(1)),55), Find(MeasureOf(Angle(2)))",Line a  Equals MeasureOf Angle 1  55  Find MeasureOf Angle 2   ,55
1453,55,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(A,C,D)),55), Find(MeasureOf(Angle(B,A,C)))",Parallel Line AB Line CD   Equals MeasureOf Angle ACD  55  Find MeasureOf Angle BAC   ,55
48,55,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),55), Find(MeasureOf(Angle(2)))",Line a  Line c  Equals MeasureOf Angle 1  55  Find MeasureOf Angle 2   ,55
3612,50,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(B,C), Equals(MeasureOf(Angle(A)),50), Find(MeasureOf(Angle(D,C,E)))",InscribedIn Quadrilateral ABCD Circle O   Line BC  Equals MeasureOf Angle A  50  Find MeasureOf Angle DCE   ,50
9767,50,"IsDiameterOf(Line(A,B),Circle(O)), Point(C), Point(D), Point(E), Circle($), Perpendicular(Line(A,B),Line(D,E)), Equals(MeasureOf(Angle(A,B,E)),50), Find(MeasureOf(Angle(A,C,D)))",IsDiameterOf Line AB Circle O   Point C  Point D  Point E  Circle $  Perpendicular Line AB Line DE   Equals MeasureOf Angle ABE  50  Find MeasureOf Angle ACD   ,50
9619,50,"Circle(O), Equals(MeasureOf(Angle(A,B,C)),50), Find(MeasureOf(Angle(A,E,C)))",Circle O  Equals MeasureOf Angle ABC  50  Find MeasureOf Angle AEC   ,50
961,50,"Line(A,B), Line(C,D), Point(O), Equals(MeasureOf(Angle(A,O,D)),50), Find(MeasureOf(Angle(B,O,C)))",Line AB  Line CD  Point O  Equals MeasureOf Angle AOD  50  Find MeasureOf Angle BOC   ,50
4062,50,"InscribedIn(Triangle(A,B,C),Circle(O)), Line(M,N), Circle(O), Point(A), Equals(MeasureOf(Angle(B,A,N)),50), Find(MeasureOf(Angle(A,C,B)))",InscribedIn Triangle ABC Circle O   Line MN  Circle O  Point A  Equals MeasureOf Angle BAN  50  Find MeasureOf Angle ACB   ,50
3512,50,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(D,C), Equals(MeasureOf(Angle(A)),50), Find(MeasureOf(Angle(B,C,E)))",InscribedIn Quadrilateral ABCD Circle O   Line DC  Equals MeasureOf Angle A  50  Find MeasureOf Angle BCE   ,50
1602,50,"MeasureOf(Angle(1)), Equals(MeasureOf(Angle(2)),180), Equals(MeasureOf(Angle(3)),50), Find(MeasureOf(Angle(4)))",MeasureOf Angle 1   Equals MeasureOf Angle 2  180  Equals MeasureOf Angle 3  50  Find MeasureOf Angle 4   ,50
9247,50,"Parallelogram(A,B,C,D), Equals(MeasureOf(Angle(A)),50), Find(MeasureOf(Angle(C)))",Parallelogram ABCD  Equals MeasureOf Angle A  50  Find MeasureOf Angle C   ,50
1695,50,"IsDiameterOf(Line(A,B),Circle(O)), IsDiameterOf(Line(C,D),Circle(O)), IsChordOf(Line(D,F),Circle($)), IsChordOf(Line(B,E),Circle($)), Line(D,F), Line(B,E), Equals(MeasureOf(Angle(B)),50), Find(MeasureOf(Angle(D)))",IsDiameterOf Line AB Circle O   IsDiameterOf Line CD Circle O   IsChordOf Line DF Circle $   IsChordOf Line BE Circle $   Line DF  Line BE  Equals MeasureOf Angle B  50  Find MeasureOf Angle D   ,50
9913,50,"InscribedIn(Triangle(A,B,C),Circle(O)), Equals(Line(D,E),\tan), Circle(O), Equals(MeasureOf(Angle(A,B,C)),50), Find(MeasureOf(Angle(C,A,E)))",InscribedIn Triangle ABC Circle O   Equals Line DE \tan  Circle O  Equals MeasureOf Angle ABC  50  Find MeasureOf Angle CAE   ,50
110,50,"Point(O), Equals(MeasureOf(Angle(1)),50), Find(MeasureOf(Angle(2)))",Point O  Equals MeasureOf Angle 1  50  Find MeasureOf Angle 2   ,50
402,50,"Line(c), Parallel(Line(a),Line(b)), Equals(MeasureOf(Angle(1)),50), Find(MeasureOf(Angle(2)))",Line c  Parallel Line a Line b   Equals MeasureOf Angle 1  50  Find MeasureOf Angle 2   ,50
3345,50,"Line(A,B), Line(C,D), Circle(O), Line(A,D), Line(B,C), Equals(MeasureOf(Angle(B,C,D)),50), Find(MeasureOf(Angle(B,A,D)))",Line AB  Line CD  Circle O  Line AD  Line BC  Equals MeasureOf Angle BCD  50  Find MeasureOf Angle BAD   ,50
3528,50,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(B,C), Equals(MeasureOf(Angle(A)),50), Find(MeasureOf(Angle(D,C,E)))",InscribedIn Quadrilateral ABCD Circle O   Line BC  Equals MeasureOf Angle A  50  Find MeasureOf Angle DCE   ,50
3614,45,"InscribedIn(Quadrilateral(A,B,C,D),Circle($)), Line(D,A), Equals(MeasureOf(Angle(C)),45), Find(MeasureOf(Angle(B,A,E)))",InscribedIn Quadrilateral ABCD Circle $   Line DA  Equals MeasureOf Angle C  45  Find MeasureOf Angle BAE   ,45
406,45,"Line(m), Triangle(A,B,C), Mul(Angle($),45), Line(n), MeasureOf(Angle(2)), Find(MeasureOf(Angle(1)))",Line m  Triangle ABC  Mul Angle $ 45  Line n  MeasureOf Angle 2   Find MeasureOf Angle 1   ,45
1663,45,"Circle(O), Equals(MeasureOf(Angle(1)),45), Find(MeasureOf(Angle(2)))",Circle O  Equals MeasureOf Angle 1  45  Find MeasureOf Angle 2   ,45
215,45,"MeasureOf(Angle(1)), Equals(MeasureOf(Angle(B)),180), Equals(MeasureOf(Angle(2)),45), Find(Equals(MeasureOf(Angle(D)),()))",MeasureOf Angle 1   Equals MeasureOf Angle B  180  Equals MeasureOf Angle 2  45  Find Equals MeasureOf Angle D      ,45
3587,45,"MeasureOf(Angle(E)), Equals(MeasureOf(Angle(D)),45), Find(MeasureOf(Angle(E,F,C)))",MeasureOf Angle E   Equals MeasureOf Angle D  45  Find MeasureOf Angle EFC   ,45
3925,42,"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), Point(C), Line(A,C), Equals(MeasureOf(Angle(C)),42), Point(E), Circle($), Line(A,B), Find(MeasureOf(Angle(A,E,D)))",IsDiameterOf Line AB Circle O   Circle O  Point C  Line AC  Equals MeasureOf Angle C  42  Point E  Circle $  Line AB  Find MeasureOf Angle AED   ,42
3229,40,"Circle(O), Line(A,C), Line(B,D), Equals(MeasureOf(Angle(A,O,B)),40), Find(MeasureOf(Angle(C,O,D)))",Circle O  Line AC  Line BD  Equals MeasureOf Angle AOB  40  Find MeasureOf Angle COD   ,40
356,40,"Point(A), Point(B), Point(C), Find(Angle(A))",Point A  Point B  Point C  Find Angle A  ,40
8774,40,"Circle(O), IsMidpointOf(Point(C),Line($)), Arc(A,B), Equals(MeasureOf(Angle(A)),40), Find(MeasureOf(Angle(B)))",Circle O  IsMidpointOf Point C Line $   Arc AB  Equals MeasureOf Angle A  40  Find MeasureOf Angle B   ,40
538,40,"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), Point(C), Line(A,C), Point(D), Equals(MeasureOf(Angle(C)),40), Point(E), Line(A,B), Circle($), Find(MeasureOf(Angle(A,E,D)))",IsDiameterOf Line AB Circle O   Circle O  Point C  Line AC  Point D  Equals MeasureOf Angle C  40  Point E  Line AB  Circle $  Find MeasureOf Angle AED   ,40
185,40,"Parallel(Line(A,B),Line(C,D)), Line(E,F), Line(A,B), Line(C,D), Point(E), Point(F), Equals(MeasureOf(Angle(A,E,F)),40), Find(MeasureOf(Angle(E,F,D)))",Parallel Line AB Line CD   Line EF  Line AB  Line CD  Point E  Point F  Equals MeasureOf Angle AEF  40  Find MeasureOf Angle EFD   ,40
1697,40,"IsChordOf(Line(A,E),Circle($)), Line(C,D), Line(A,O), Equals(MeasureOf(Angle(A,O,C)),40), Angle($), Circle($), Line(D,E)",IsChordOf Line AE Circle $   Line CD  Line AO  Equals MeasureOf Angle AOC  40  Angle $  Circle $  Line DE ,40
9572,40,"Parallelogram(A,B,C,D), Perpendicular(Line(A,E),Line(B,C)), Perpendicular(Line(A,F),Line(D,C)), Point(F), Equals(MeasureOf(Angle(E,A,F)),40), Find(MeasureOf(Angle(B)))",Parallelogram ABCD  Perpendicular Line AE Line BC   Perpendicular Line AF Line DC   Point F  Equals MeasureOf Angle EAF  40  Find MeasureOf Angle B   ,40
8939,40,"InscribedIn(Triangle(A,B,C),Circle(O)), Line(A,D), Circle(O), Point(A), Equals(MeasureOf(Angle(A,B,C)),40), Find(MeasureOf(Angle(D,A,C)))",InscribedIn Triangle ABC Circle O   Line AD  Circle O  Point A  Equals MeasureOf Angle ABC  40  Find MeasureOf Angle DAC   ,40
3306,40,"Circle(O), IsChordOf(Line(A,B),Circle($)), IsChordOf(Line(C,D),Circle($)), Point(E), Equals(LengthOf(Line(B,E)),Line(D,E)), Equals(MeasureOf(Angle(B)),40), Find(MeasureOf(Angle(A)))",Circle O  IsChordOf Line AB Circle $   IsChordOf Line CD Circle $   Point E  Equals LengthOf Line BE  Line DE   Equals MeasureOf Angle B  40  Find MeasureOf Angle A   ,40
4039,40,"IsDiameterOf(Line(A,B),Circle(O)), Equals(Line(B,P),\tan), IntersectAt(Circle(O),Line(A,P),Circle(O),Point(G)), Point(D), Line(B,C), Equals(MeasureOf(Angle(P)),40), Find(MeasureOf(Angle(A,D,C)))",IsDiameterOf Line AB Circle O   Equals Line BP \tan  IntersectAt Circle O Line AP Circle O Point G   Point D  Line BC  Equals MeasureOf Angle P  40  Find MeasureOf Angle ADC   ,40
717,40,"Equals(MeasureOf(Angle(1)),40), Find(MeasureOf(Angle(2)))",Equals MeasureOf Angle 1  40  Find MeasureOf Angle 2   ,40
5854,40,"Point(A), Point(B), Point(C)",Point A  Point B  Point C ,40
3303,36,"Line(A,B), Circle(O), IsChordOf(Line(C,D),Circle($)), Equals(MeasureOf(Angle(C,A,B)),36), Find(MeasureOf(Angle(B,C,D)))",Line AB  Circle O  IsChordOf Line CD Circle $   Equals MeasureOf Angle CAB  36  Find MeasureOf Angle BCD   ,36
487,35,"Line(A,D), MeasureOf(Angle(E,A,C)), Parallel(Line(A,D),Line(B,C)), Equals(MeasureOf(Angle(B)),35), Find(MeasureOf(Angle(C)))",Line AD  MeasureOf Angle EAC   Parallel Line AD Line BC   Equals MeasureOf Angle B  35  Find MeasureOf Angle C   ,35
1839,35,"IsChordOf(Line(C,D),Circle(O)), Equals(MeasureOf(Angle(A,D,C)),35), Find(MeasureOf(Angle(C,B,A)))",IsChordOf Line CD Circle O   Equals MeasureOf Angle ADC  35  Find MeasureOf Angle CBA   ,35
8818,30,"Line(A,B), Line(C,D), Circle(O), Equals(MeasureOf(Angle(A,B,C)),30), Find(MeasureOf(Angle(B,A,D)))",Line AB  Line CD  Circle O  Equals MeasureOf Angle ABC  30  Find MeasureOf Angle BAD   ,30
4806,30,"Triangle(A,C,B), Triangle($), Line(C,B), MeasureOf(Angle(B,C,B)), MeasureOf(Angle(A,C,A))",Triangle ACB  Triangle $  Line CB  MeasureOf Angle BCB   MeasureOf Angle ACA  ,30
8415,30,"IsDiameterOf(Line(A,B),Circle(O)), Circle(O), SinOf(g), Point(D), Line(A,B), Point(C), Equals(MeasureOf(Angle(C)),30), Find(MeasureOf(Angle(C,A,D)))",IsDiameterOf Line AB Circle O   Circle O  SinOf g  Point D  Line AB  Point C  Equals MeasureOf Angle C  30  Find MeasureOf Angle CAD   ,30
